espnId,playerId,playerName,position,passingYards,passingTDs,rushingYards,rushingTDs,receivingYards,receivingTDs,receptions,targets,carries,week,season,epa,yards,tds
4363538,4363538,,,0.0,0,0.0,0,0.0,0,0,0,2,4,2025,0.0,0.0,0
4428811,4428811,,,0.0,0,0.0,0,0.0,0,0,1,0,4,2025,0.0,0.0,0
4240657,4240657,,,0.0,0,1.0,0,0.0,0,0,0,0,4,2025,0.01,1.0,0
4361307,4361307,,,0.0,0,0.0,0,52.0,0,7,11,0,4,2025,0.52,52.0,0
4037235,4037235,,,0.0,0,4.0,0,35.0,0,4,5,0,4,2025,0.39,39.0,0
4432708,4432708,,,0.0,0,0.0,0,66.0,1,6,10,0,4,2025,1.26,66.0,1
2975863,2975863,,,0.0,0,0.0,0,0.0,0,1,0,0,4,2025,0.0,0.0,0
4429275,4429275,,,0.0,0,35.0,0,19.0,0,5,5,0,4,2025,0.54,54.0,0
4567048,4567048,,,0.0,0,81.0,0,29.0,0,1,2,0,4,2025,1.1,110.0,0
4360761,4360761,,,0.0,0,0.0,0,15.0,0,3,6,0,4,2025,0.15,15.0,0
4597703,4597703,,,0.0,0,0.0,0,10.0,0,1,2,0,4,2025,0.1,10.0,0
4362478,4362478,,,0.0,0,8.0,0,13.0,1,2,2,0,4,2025,0.8099999999999999,21.0,1
2473037,2473037,,,0.0,0,0.0,0,0.0,0,0,0,4,4,2025,0.0,0.0,0
3917315,3917315,,,200.0,2,41.0,0,0.0,0,0,0,41,4,2025,3.6100000000000003,241.0,2
4576297,4576297,,,0.0,0,0.0,0,32.0,1,3,3,0,4,2025,0.9199999999999999,32.0,1
4426385,4426385,,,0.0,0,39.0,1,5.0,0,2,2,0,4,2025,1.04,44.0,1
2977187,2977187,,,0.0,0,0.0,0,26.0,0,4,5,0,4,2025,0.26,26.0,0
4430878,4430878,,,0.0,0,11.0,0,79.0,0,4,5,0,4,2025,0.9,90.0,0
4678006,4678006,,,0.0,0,0.0,0,44.0,0,2,4,0,4,2025,0.44,44.0,0
4360405,4360405,,,0.0,0,0.0,0,17.0,0,1,1,0,4,2025,0.17,17.0,0
3912547,3912547,,,242.0,1,24.0,0,0.0,0,0,0,26,4,2025,3.2600000000000002,266.0,1
4362921,4362921,,,0.0,0,0.0,0,11.0,1,1,2,0,4,2025,0.71,11.0,1
3116365,3116365,,,0.0,0,0.0,0,30.0,0,7,8,0,4,2025,0.3,30.0,0
3120348,3120348,,,0.0,0,0.0,0,36.0,1,4,6,0,4,2025,0.96,36.0,1
