espnId,playerId,playerName,position,passingYards,passingTDs,rushingYards,rushingTDs,receivingYards,receivingTDs,receptions,targets,carries,week,season,epa,yards,tds
3128429,3128429,,,0.0,0,0.0,0,24.0,0,3,4,0,10,2025,0.24,24.0,0
4241985,4241985,,,0.0,0,77.0,0,7.0,0,1,1,0,10,2025,0.84,84.0,0
4600981,4600981,,,0.0,0,0.0,0,43.0,0,1,2,0,10,2025,0.43,43.0,0
15864,15864,,,143.0,0,7.0,0,0.0,0,0,0,26,10,2025,1.5,150.0,0
4568490,4568490,,,0.0,0,9.0,0,9.0,0,2,3,0,10,2025,0.18,18.0,0
3929914,3929914,,,0.0,0,0.0,0,13.0,0,1,1,0,10,2025,0.13,13.0,0
2576414,2576414,,,0.0,0,4.0,0,11.0,0,1,1,0,10,2025,0.15,15.0,0
2985659,2985659,,,0.0,0,0.0,0,0.0,0,0,0,2,10,2025,0.0,0.0,0
4428718,4428718,,,0.0,0,7.0,0,28.0,0,2,3,0,10,2025,0.35000000000000003,35.0,0
3686689,3686689,,,0.0,0,0.0,0,0.0,0,1,0,0,10,2025,0.0,0.0,0
4240703,4240703,,,0.0,0,0.0,0,0.0,0,0,0,1,10,2025,0.0,0.0,0
4426338,4426338,,,150.0,1,-2.0,0,0.0,0,0,0,28,10,2025,2.08,148.0,1
4432665,4432665,,,0.0,0,-4.0,0,31.0,0,1,3,0,10,2025,0.27,27.0,0
4890973,4890973,,,0.0,0,60.0,1,3.0,0,3,5,0,10,2025,1.23,63.0,1
4429086,4429086,,,0.0,0,0.0,0,22.0,0,3,4,0,10,2025,0.22,22.0,0
3051909,3051909,,,0.0,0,0.0,0,0.0,0,0,0,1,10,2025,0.0,0.0,0
4431280,4431280,,,0.0,0,0.0,0,40.0,1,5,9,0,10,2025,1.0,40.0,1
4603186,4603186,,,0.0,0,0.0,0,0.0,0,0,1,0,10,2025,0.0,0.0,0
4432775,4432775,,,0.0,0,0.0,0,4.0,0,1,2,0,10,2025,0.04,4.0,0
3051876,3051876,,,0.0,0,0.0,0,12.0,0,2,5,0,10,2025,0.12,12.0,0
3911853,3911853,,,0.0,0,0.0,0,2.0,0,1,1,0,10,2025,0.02,2.0,0
4362748,4362748,,,0.0,0,0.0,0,0.0,0,0,1,0,10,2025,0.0,0.0,0
2577327,2577327,,,0.0,0,0.0,0,44.0,0,5,6,0,10,2025,0.44,44.0,0
4427728,4427728,,,0.0,0,28.0,0,5.0,0,1,4,0,10,2025,0.33,33.0,0
4240657,4240657,,,0.0,0,4.0,0,0.0,0,0,0,0,10,2025,0.04,4.0,0
3059722,3059722,,,0.0,0,0.0,0,0.0,0,0,1,0,10,2025,0.0,0.0,0
4361307,4361307,,,0.0,0,0.0,0,127.0,1,9,13,0,10,2025,1.87,127.0,1
4037235,4037235,,,0.0,0,2.0,1,0.0,0,0,0,0,10,2025,0.62,2.0,1
4432708,4432708,,,0.0,0,0.0,0,33.0,1,3,12,0,10,2025,0.9299999999999999,33.0,1
4429835,4429835,,,0.0,0,31.0,1,0.0,0,0,0,0,10,2025,0.9099999999999999,31.0,1
4426844,4426844,,,0.0,0,0.0,0,19.0,0,2,3,0,10,2025,0.19,19.0,0
4567048,4567048,,,0.0,0,67.0,0,3.0,0,1,1,0,10,2025,0.7000000000000001,70.0,0
4243176,4243176,,,0.0,0,0.0,0,0.0,0,1,0,0,10,2025,0.0,0.0,0
4569547,4569547,,,0.0,0,0.0,0,0.0,0,0,1,0,10,2025,0.0,0.0,0
16802,16802,,,0.0,0,0.0,0,0.0,0,2,0,0,10,2025,0.0,0.0,0
4360761,4360761,,,0.0,0,0.0,0,34.0,0,4,7,0,10,2025,0.34,34.0,0
4032473,4032473,,,0.0,0,20.0,0,3.0,0,1,1,0,10,2025,0.23,23.0,0
4428512,4428512,,,0.0,0,0.0,0,0.0,0,0,0,1,10,2025,0.0,0.0,0
4362478,4362478,,,0.0,0,64.0,0,40.0,0,3,4,0,10,2025,1.04,104.0,0
2578570,2578570,,,258.0,2,31.0,0,0.0,0,0,0,44,10,2025,4.09,289.0,2
2473037,2473037,,,0.0,0,0.0,0,0.0,0,0,0,3,10,2025,0.0,0.0,0
4576297,4576297,,,0.0,0,3.0,0,0.0,0,0,0,0,10,2025,0.03,3.0,0
3693166,3693166,,,0.0,0,0.0,0,0.0,0,1,0,0,10,2025,0.0,0.0,0
3924327,3924327,,,0.0,0,-4.0,0,0.0,0,1,0,0,10,2025,-0.04,-4.0,0
4426385,4426385,,,0.0,0,83.0,1,0.0,0,0,0,0,10,2025,1.4300000000000002,83.0,1
2977187,2977187,,,0.0,0,0.0,0,74.0,0,2,2,0,10,2025,0.74,74.0,0
4244606,4244606,,,0.0,0,0.0,0,0.0,0,1,0,0,10,2025,0.0,0.0,0
4430878,4430878,,,0.0,0,0.0,0,93.0,1,5,6,0,10,2025,1.53,93.0,1
4678006,4678006,,,0.0,0,0.0,0,5.0,0,1,1,0,10,2025,0.05,5.0,0
3912547,3912547,,,178.0,1,-2.0,0,0.0,0,0,0,12,10,2025,2.36,176.0,1
4036133,4036133,,,0.0,0,0.0,0,8.0,0,2,2,0,10,2025,0.08,8.0,0
3116365,3116365,,,0.0,0,0.0,0,14.0,1,3,5,0,10,2025,0.74,14.0,1
2975417,2975417,,,0.0,0,3.0,0,0.0,0,0,0,0,10,2025,0.03,3.0,0
