espnId,playerId,playerName,position,passingYards,passingTDs,rushingYards,rushingTDs,receivingYards,receivingTDs,receptions,targets,carries,week,season,epa,yards,tds
4595342,4595342,,,0.0,0,0.0,0,77.0,1,5,5,0,8,2025,1.37,77.0,1
4573398,4573398,,,13.0,0,0.0,0,0.0,0,0,0,4,8,2025,0.13,13.0,0
4036133,4036133,,,0.0,0,0.0,0,26.0,0,2,3,0,8,2025,0.26,26.0,0
4257364,4257364,,,0.0,0,16.0,0,8.0,0,2,2,0,8,2025,0.24,24.0,0
4362081,4362081,,,0.0,0,0.0,0,0.0,0,0,0,4,8,2025,0.0,0.0,0
3042519,3042519,,,0.0,0,15.0,0,15.0,0,2,4,0,8,2025,0.3,30.0,0
4262921,4262921,,,0.0,0,0.0,0,74.0,0,7,11,0,8,2025,0.74,74.0,0
4362452,4362452,,,0.0,0,30.0,0,0.0,0,0,0,0,8,2025,0.3,30.0,0
4360569,4360569,,,0.0,0,3.0,0,3.0,0,1,1,0,8,2025,0.06,6.0,0
4612826,4612826,,,0.0,0,0.0,0,88.0,1,6,10,0,8,2025,1.48,88.0,1
3916430,3916430,,,0.0,0,-2.0,0,0.0,0,0,0,0,8,2025,-0.02,-2.0,0
4429205,4429205,,,0.0,0,0.0,0,26.0,1,3,4,0,8,2025,0.86,26.0,1
4686612,4686612,,,0.0,0,0.0,0,8.0,1,2,2,0,8,2025,0.6799999999999999,8.0,1
2573079,2573079,,,144.0,1,0.0,0,0.0,0,1,0,27,8,2025,2.04,144.0,1
4430968,4430968,,,0.0,0,117.0,1,10.0,0,1,2,0,8,2025,1.87,127.0,1
4433959,4433959,,,0.0,0,0.0,0,5.0,0,1,2,0,8,2025,0.05,5.0,0
4038941,4038941,,,227.0,3,62.0,0,0.0,0,0,0,25,8,2025,4.6899999999999995,289.0,3
16460,16460,,,0.0,0,0.0,0,0.0,0,0,2,0,8,2025,0.0,0.0,0
4382466,4382466,,,0.0,0,0.0,0,0.0,0,0,1,0,8,2025,0.0,0.0,0
15818,15818,,,0.0,0,0.0,0,44.0,0,4,5,0,8,2025,0.44,44.0,0
4567104,4567104,,,0.0,0,0.0,0,0.0,0,0,0,2,8,2025,0.0,0.0,0
14012,14012,,,175.0,0,1.0,0,0.0,0,1,0,24,8,2025,1.76,176.0,0
4635008,4635008,,,0.0,0,0.0,0,30.0,0,3,4,0,8,2025,0.3,30.0,0
3930086,3930086,,,0.0,0,0.0,0,15.0,0,1,1,0,8,2025,0.15,15.0,0
4429501,4429501,,,0.0,0,16.0,0,0.0,0,0,1,0,8,2025,0.16,16.0,0
4372414,4372414,,,0.0,0,0.0,0,14.0,0,1,4,0,8,2025,0.14,14.0,0
4685472,4685472,,,0.0,0,0.0,0,99.0,0,7,10,0,8,2025,0.99,99.0,0
4431588,4431588,,,0.0,0,0.0,0,19.0,0,3,3,0,8,2025,0.19,19.0,0
3039707,3039707,,,22.0,0,0.0,0,0.0,0,0,0,4,8,2025,0.22,22.0,0
4685350,4685350,,,0.0,0,16.0,0,0.0,0,0,0,0,8,2025,0.16,16.0,0
4379399,4379399,,,0.0,0,216.0,2,0.0,0,0,0,0,8,2025,3.3600000000000003,216.0,2
4568263,4568263,,,0.0,0,0.0,0,0.0,0,0,0,2,8,2025,0.0,0.0,0
3918298,3918298,,,163.0,1,7.0,2,0.0,0,0,0,19,8,2025,3.5,170.0,3
4573699,4573699,,,0.0,0,0.0,0,15.0,0,2,3,0,8,2025,0.15,15.0,0
4038815,4038815,,,0.0,0,54.0,0,0.0,0,0,0,0,8,2025,0.54,54.0,0
11122,11122,,,0.0,0,0.0,0,0.0,0,0,0,2,8,2025,0.0,0.0,0
4708486,4708486,,,0.0,0,9.0,0,0.0,0,0,1,0,8,2025,0.09,9.0,0
4831989,4831989,,,0.0,0,0.0,0,0.0,0,1,0,0,8,2025,0.0,0.0,0
3915411,3915411,,,0.0,0,6.0,0,0.0,0,0,0,0,8,2025,0.06,6.0,0
4385690,4385690,,,0.0,0,0.0,0,23.0,0,1,3,0,8,2025,0.23,23.0,0
4695883,4695883,,,0.0,0,0.0,0,36.0,0,3,4,0,8,2025,0.36,36.0,0
4430034,4430034,,,0.0,0,0.0,0,17.0,0,2,3,0,8,2025,0.17,17.0,0
