espnId,playerId,playerName,position,passingYards,passingTDs,rushingYards,rushingTDs,receivingYards,receivingTDs,receptions,targets,carries,week,season,epa,yards,tds
3914397,3914397,,,0.0,0,0.0,0,9.0,0,1,1,0,7,2025,0.09,9.0,0
4036131,4036131,,,0.0,0,0.0,0,44.0,1,4,4,0,7,2025,1.04,44.0,1
4360234,4360234,,,0.0,0,0.0,0,0.0,0,0,0,4,7,2025,0.0,0.0,0
17372,17372,,,0.0,0,0.0,0,0.0,0,0,0,1,7,2025,0.0,0.0,0
4569987,4569987,,,0.0,0,127.0,0,31.0,0,4,5,0,7,2025,1.58,158.0,0
4361411,4361411,,,0.0,0,0.0,0,111.0,2,5,6,0,7,2025,2.31,111.0,2
4431492,4431492,,,0.0,0,0.0,0,17.0,0,2,2,0,7,2025,0.17,17.0,0
4368003,4368003,,,0.0,0,0.0,0,49.0,0,3,4,0,7,2025,0.49,49.0,0
4239993,4239993,,,0.0,0,0.0,0,96.0,1,6,10,0,7,2025,1.56,96.0,1
4047650,4047650,,,0.0,0,0.0,0,50.0,0,3,5,0,7,2025,0.5,50.0,0
4241961,4241961,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
3116389,3116389,,,0.0,0,31.0,0,0.0,0,0,0,0,7,2025,0.31,31.0,0
4430802,4430802,,,0.0,0,0.0,0,2.0,1,3,5,0,7,2025,0.62,2.0,1
3054212,3054212,,,0.0,0,0.0,0,28.0,1,3,6,0,7,2025,0.88,28.0,1
11252,11252,,,342.0,3,3.0,0,0.0,0,0,0,47,7,2025,5.25,345.0,3
4362238,4362238,,,0.0,0,108.0,0,-8.0,0,2,4,0,7,2025,1.0,100.0,0
4371733,4371733,,,0.0,0,14.0,0,1.0,0,2,2,0,7,2025,0.15,15.0,0
8439,8439,,,249.0,4,6.0,0,0.0,0,0,0,34,7,2025,4.95,255.0,4
4362628,4362628,,,0.0,0,0.0,0,161.0,1,16,23,0,7,2025,2.21,161.0,1
4360423,4360423,,,241.0,1,6.0,0,0.0,0,0,0,38,7,2025,3.0700000000000003,247.0,1
3886598,3886598,,,0.0,0,0.0,0,31.0,0,4,7,0,7,2025,0.31,31.0,0
3117251,3117251,,,0.0,0,129.0,2,72.0,0,7,8,0,7,2025,3.21,201.0,2
4034949,4034949,,,0.0,0,0.0,0,0.0,0,0,0,2,7,2025,0.0,0.0,0
4373626,4373626,,,0.0,0,16.0,0,0.0,0,0,0,0,7,2025,0.16,16.0,0
4241464,4241464,,,152.0,0,11.0,0,0.0,0,0,0,26,7,2025,1.6300000000000001,163.0,0
16002,16002,,,0.0,0,-2.0,0,10.0,0,1,1,0,7,2025,0.08,8.0,0
4430807,4430807,,,0.0,0,40.0,0,52.0,1,6,8,0,7,2025,1.52,92.0,1
4051167,4051167,,,0.0,0,0.0,0,0.0,0,0,0,1,7,2025,0.0,0.0,0
4241474,4241474,,,0.0,0,36.0,0,0.0,0,0,0,0,7,2025,0.36,36.0,0
3043116,3043116,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
4035020,4035020,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
4360248,4360248,,,0.0,0,0.0,0,62.0,0,7,10,0,7,2025,0.62,62.0,0
4428796,4428796,,,0.0,0,0.0,0,17.0,0,1,2,0,7,2025,0.17,17.0,0
3045523,3045523,,,0.0,0,0.0,0,14.0,0,2,2,0,7,2025,0.14,14.0,0
4430191,4430191,,,0.0,0,0.0,0,15.0,0,1,1,0,7,2025,0.15,15.0,0
4426502,4426502,,,0.0,0,0.0,0,42.0,0,4,10,0,7,2025,0.42,42.0,0
3040151,3040151,,,0.0,0,0.0,0,0.0,0,0,2,0,7,2025,0.0,0.0,0
4430835,4430835,,,0.0,0,0.0,0,0.0,0,1,0,0,7,2025,0.0,0.0,0
4431523,4431523,,,0.0,0,0.0,0,-1.0,0,1,1,0,7,2025,-0.01,-1.0,0
4040655,4040655,,,0.0,0,0.0,0,68.0,0,3,5,0,7,2025,0.68,68.0,0
4040612,4040612,,,0.0,0,0.0,0,11.0,0,1,1,0,7,2025,0.11,11.0,0
4683243,4683243,,,0.0,0,0.0,0,24.0,0,2,3,0,7,2025,0.24,24.0,0
14012,14012,,,60.0,0,-2.0,0,0.0,0,0,0,7,7,2025,0.58,58.0,0
4362887,4362887,,,46.0,0,22.0,0,0.0,0,0,0,12,7,2025,0.68,68.0,0
4427366,4427366,,,0.0,0,38.0,0,14.0,0,2,3,0,7,2025,0.52,52.0,0
4429105,4429105,,,0.0,0,0.0,0,0.0,0,1,3,0,7,2025,0.0,0.0,0
4685472,4685472,,,0.0,0,0.0,0,33.0,0,3,5,0,7,2025,0.33,33.0,0
3128390,3128390,,,0.0,0,0.0,0,16.0,0,2,3,0,7,2025,0.16,16.0,0
4431588,4431588,,,0.0,0,0.0,0,0.0,0,0,2,0,7,2025,0.0,0.0,0
4808766,4808766,,,0.0,0,0.0,0,31.0,0,3,5,0,7,2025,0.31,31.0,0
10621,10621,,,0.0,0,0.0,0,0.0,0,0,0,2,7,2025,0.0,0.0,0
4685720,4685720,,,138.0,1,10.0,0,0.0,0,1,0,25,7,2025,2.08,148.0,1
4568263,4568263,,,0.0,0,0.0,0,0.0,0,0,0,2,7,2025,0.0,0.0,0
4038815,4038815,,,0.0,0,79.0,0,17.0,0,1,2,0,7,2025,0.96,96.0,0
4361372,4361372,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
4708486,4708486,,,0.0,0,7.0,0,8.0,0,1,2,0,7,2025,0.15,15.0,0
14163,14163,,,126.0,0,11.0,0,0.0,0,0,0,22,7,2025,1.37,137.0,0
4695883,4695883,,,0.0,0,0.0,0,0.0,0,0,2,0,7,2025,0.0,0.0,0
4430034,4430034,,,0.0,0,0.0,0,92.0,1,9,11,0,7,2025,1.52,92.0,1
3115306,3115306,,,0.0,0,0.0,0,29.0,0,3,9,0,7,2025,0.29,29.0,0
4241416,4241416,,,0.0,0,31.0,0,24.0,0,2,3,0,7,2025,0.55,55.0,0
2310331,2310331,,,0.0,0,0.0,0,60.0,0,3,3,0,7,2025,0.6,60.0,0
4372780,4372780,,,0.0,0,0.0,0,0.0,0,1,1,0,7,2025,0.0,0.0,0
4695404,4695404,,,0.0,0,10.0,0,22.0,0,2,4,0,7,2025,0.32,32.0,0
3149687,3149687,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
4036378,4036378,,,179.0,1,22.0,0,0.0,0,2,0,29,7,2025,2.6100000000000003,201.0,1
4427728,4427728,,,0.0,0,57.0,0,7.0,0,3,4,0,7,2025,0.64,64.0,0
4361432,4361432,,,0.0,0,0.0,0,72.0,0,6,8,0,7,2025,0.72,72.0,0
4363538,4363538,,,0.0,0,0.0,0,0.0,0,0,0,3,7,2025,0.0,0.0,0
4240657,4240657,,,0.0,0,11.0,0,25.0,0,2,2,0,7,2025,0.36,36.0,0
4428850,4428850,,,0.0,0,0.0,0,5.0,0,1,2,0,7,2025,0.05,5.0,0
4379401,4379401,,,0.0,0,0.0,0,6.0,0,1,1,0,7,2025,0.06,6.0,0
3059722,3059722,,,0.0,0,0.0,0,67.0,0,2,2,0,7,2025,0.67,67.0,0
4361307,4361307,,,0.0,0,0.0,0,74.0,2,10,13,0,7,2025,1.94,74.0,2
4245661,4245661,,,0.0,0,0.0,0,0.0,0,0,0,2,7,2025,0.0,0.0,0
4037235,4037235,,,0.0,0,0.0,0,5.0,0,2,2,0,7,2025,0.05,5.0,0
4432708,4432708,,,0.0,0,0.0,0,58.0,0,2,6,0,7,2025,0.58,58.0,0
4426844,4426844,,,0.0,0,0.0,0,3.0,0,1,1,0,7,2025,0.03,3.0,0
4428863,4428863,,,0.0,0,0.0,0,0.0,0,1,0,0,7,2025,0.0,0.0,0
4887558,4887558,,,0.0,0,17.0,0,-2.0,0,1,1,0,7,2025,0.15,15.0,0
4572680,4572680,,,0.0,0,0.0,0,58.0,1,5,10,0,7,2025,1.18,58.0,1
4701936,4701936,,,0.0,0,0.0,0,37.0,0,4,4,0,7,2025,0.37,37.0,0
4360761,4360761,,,0.0,0,0.0,0,40.0,0,3,4,0,7,2025,0.4,40.0,0
2578570,2578570,,,279.0,2,26.0,0,0.0,0,0,0,36,7,2025,4.25,305.0,2
4047365,4047365,,,0.0,0,55.0,2,3.0,0,1,1,0,7,2025,1.7799999999999998,58.0,2
4035687,4035687,,,0.0,0,0.0,0,58.0,1,7,9,0,7,2025,1.18,58.0,1
4595342,4595342,,,0.0,0,0.0,0,164.0,1,7,9,0,7,2025,2.24,164.0,1
4362081,4362081,,,0.0,0,0.0,0,0.0,0,0,0,1,7,2025,0.0,0.0,0
4429025,4429025,,,0.0,0,0.0,0,30.0,1,2,6,0,7,2025,0.8999999999999999,30.0,1
3127292,3127292,,,0.0,0,0.0,0,0.0,0,0,1,0,7,2025,0.0,0.0,0
3123052,3123052,,,0.0,0,0.0,0,0.0,0,0,0,1,7,2025,0.0,0.0,0
4360078,4360078,,,0.0,0,0.0,0,98.0,0,5,10,0,7,2025,0.98,98.0,0
2998565,2998565,,,0.0,0,0.0,0,6.0,0,1,2,0,7,2025,0.06,6.0,0
2576336,2576336,,,0.0,0,19.0,0,8.0,0,1,1,0,7,2025,0.27,27.0,0
4597500,4597500,,,0.0,0,0.0,0,8.0,0,1,1,0,7,2025,0.08,8.0,0
4612826,4612826,,,0.0,0,0.0,0,67.0,0,9,15,0,7,2025,0.67,67.0,0
4686612,4686612,,,0.0,0,0.0,0,23.0,0,2,2,0,7,2025,0.23,23.0,0
4429684,4429684,,,0.0,0,0.0,0,3.0,0,1,1,0,7,2025,0.03,3.0,0
4242335,4242335,,,0.0,0,94.0,3,38.0,0,3,3,0,7,2025,3.12,132.0,3
4372071,4372071,,,0.0,0,3.0,0,2.0,0,2,2,0,7,2025,0.05,5.0,0
4430968,4430968,,,0.0,0,20.0,0,15.0,0,4,5,0,7,2025,0.35000000000000003,35.0,0
4431459,4431459,,,0.0,0,0.0,0,69.0,1,4,5,0,7,2025,1.29,69.0,1
4038941,4038941,,,420.0,3,31.0,0,0.0,0,0,0,55,7,2025,6.31,451.0,3
3917792,3917792,,,288.0,2,7.0,0,0.0,0,1,0,34,7,2025,4.15,295.0,2
15818,15818,,,0.0,0,0.0,0,119.0,1,11,14,0,7,2025,1.79,119.0,1
4882093,4882093,,,0.0,0,22.0,0,0.0,0,0,0,0,7,2025,0.22,22.0,0
3134353,3134353,,,0.0,0,0.0,0,22.0,0,1,1,0,7,2025,0.22,22.0,0
4242557,4242557,,,0.0,0,0.0,0,47.0,0,3,3,0,7,2025,0.47000000000000003,47.0,0
4426553,4426553,,,0.0,0,0.0,0,4.0,0,1,1,0,7,2025,0.04,4.0,0
3052096,3052096,,,0.0,0,0.0,0,9.0,0,1,4,0,7,2025,0.09,9.0,0
4911851,4911851,,,0.0,0,0.0,0,4.0,0,1,1,0,7,2025,0.04,4.0,0
4569382,4569382,,,0.0,0,0.0,0,9.0,0,2,4,0,7,2025,0.09,9.0,0
4360310,4360310,,,296.0,1,18.0,0,0.0,0,0,0,48,7,2025,3.74,314.0,1
12483,12483,,,182.0,5,1.0,0,0.0,0,0,0,33,7,2025,4.83,183.0,5
16760,16760,,,0.0,0,-3.0,0,0.0,0,0,0,0,7,2025,-0.03,-3.0,0
4686361,4686361,,,0.0,0,0.0,0,0.0,0,0,0,1,7,2025,0.0,0.0,0
16800,16800,,,0.0,0,0.0,0,35.0,3,5,8,0,7,2025,2.15,35.0,3
