player,espnId,position,position_inferred,team,avg_epa,avg_cpoe,plays,pass_attempts,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,position_profile
J.Flacco,,QB,QB,,,,6,265.0,1376.0,7.0,6.0,0.0,0.0,0,0,0,
J.Goff,,QB,QB,,,,7,216.0,1631.0,15.0,3.0,0.0,0.0,0,0,0,
J.Herbert,,QB,QB,,,,7,291.0,1913.0,13.0,6.0,0.0,0.0,0,0,0,
J.Hurts,,QB,QB,,,,7,217.0,1498.0,11.0,1.0,0.0,0.0,0,0,0,
J.Karty,,UNK,UNK,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
J.Love,,QB,QB,,,,6,186.0,1438.0,10.0,2.0,0.0,0.0,0,0,0,
J.McCarthy,,QB,QB,,,,2,52.0,301.0,2.0,3.0,0.0,0.0,0,0,0,
J.Milton,,UNK,UNK,,,,1,5.0,41.0,0.0,1.0,0.0,0.0,0,0,0,
J.Waddle,,UNK,UNK,,,,1,1.0,8.0,0.0,0.0,0.0,0.0,0,0,0,
K.Cousins,,UNK,UNK,,,,1,7.0,29.0,0.0,0.0,0.0,0.0,0,0,0,
K.Murray,,QB,QB,,,,5,177.0,962.0,6.0,3.0,0.0,0.0,0,0,0,
K.Pickett,,UNK,UNK,,,,1,2.0,8.0,0.0,0.0,0.0,0.0,0,0,0,
L.Jackson,,QB,QB,,,,4,111.0,869.0,10.0,1.0,0.0,0.0,0,0,0,
M.Brosmer,,UNK,UNK,,,,1,4.0,29.0,0.0,0.0,0.0,0.0,0,0,0,
M.Jones,,QB,QB,,,,5,206.0,1404.0,6.0,4.0,0.0,0.0,0,0,0,
M.Mariota,,QB,QB,,,,3,64.0,426.0,3.0,2.0,0.0,0.0,0,0,0,
M.Penix,,QB,QB,,,,6,204.0,1409.0,5.0,3.0,0.0,0.0,0,0,0,
M.Rudolph,,UNK,UNK,,,,1,2.0,12.0,0.0,0.0,0.0,0.0,0,0,0,
M.Stafford,,QB,QB,,,,7,253.0,1866.0,17.0,2.0,0.0,0.0,0,0,0,
M.Trubisky,,UNK,UNK,,,,1,2.0,32.0,0.0,0.0,0.0,0.0,0,0,0,
P.Mahomes,,QB,QB,,,,7,260.0,1800.0,14.0,2.0,0.0,0.0,0,0,0,
Q.Ewers,,UNK,UNK,,,,1,10.0,53.0,0.0,0.0,0.0,0.0,0,0,0,
R.Wilson,,QB,QB,,,,5,120.0,786.0,3.0,3.0,0.0,0.0,0,0,0,
S.Darnold,,QB,QB,,,,7,201.0,1754.0,12.0,4.0,0.0,0.0,0,0,0,
S.Rattler,,QB,QB,,,,7,250.0,1450.0,8.0,4.0,0.0,0.0,0,0,0,
T.Bagent,,UNK,UNK,,,,1,3.0,27.0,0.0,0.0,0.0,0.0,0,0,0,
T.Hill,,UNK,UNK,,,,1,1.0,19.0,0.0,0.0,0.0,0.0,0,0,0,
T.Huntley,,UNK,UNK,,,,1,19.0,68.0,0.0,0.0,0.0,0.0,0,0,0,
T.Lance,,UNK,UNK,,,,1,5.0,44.0,0.0,0.0,0.0,0.0,0,0,0,
T.Lawrence,,QB,QB,,,,7,280.0,1620.0,9.0,5.0,0.0,0.0,0,0,0,
T.Shough,,UNK,UNK,,,,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
T.Tagovailoa,,QB,QB,,,,7,221.0,1313.0,11.0,10.0,0.0,0.0,0,0,0,
T.Taylor,,QB,QB,,,,3,78.0,379.0,3.0,3.0,0.0,0.0,0,0,0,
T.Warren,,UNK,UNK,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Z.Wilson,,UNK,UNK,,,,1,8.0,32.0,0.0,0.0,0.0,0.0,0,0,0,
