"player_id","player","week","position","stock_value","stock_change","last_game_delta","avg_epa","yards","tds","espnId"
"A.Dalton","A.Dalton","4","","0.0502","0.0","0.0","1.6523","0.0","0","14012"
"A.Dalton","A.Dalton","7","","0.7225","0.6723","0.74262","-0.3393","0.0","0","14012"
"A.Richardson","A.Richardson","5","","-0.0362","0.0","0.0","-0.6058","0.0","0","4685183"
"A.Rodgers","A.Rodgers","1","","0.0095","0.0","0.0","0.3001","0.0","0","8439"
"A.Rodgers","A.Rodgers","2","","0.1354","0.1259","0.1413","-0.2077","0.0","0","8439"
"A.Rodgers","A.Rodgers","3","","-0.084","-0.2194","-0.08457","0.0084","0.0","0","8439"
"A.Rodgers","A.Rodgers","4","","0.0168","0.1008","0.01155","0.1583","0.0","0","8439"
"A.Rodgers","A.Rodgers","6","","0.0979","0.0811","0.07821","0.32","0.0","0","8439"
"A.Rodgers","A.Rodgers","7","","0.1741","0.0762","0.15012","0.3915","0.0","0","8439"
"B.Mayfield","B.Mayfield","1","","0.0057","0.0","0.0","0.1747","0.0","0","3052587"
"B.Mayfield","B.Mayfield","2","","0.0854","0.0797","0.08553","-0.015","0.0","0","3052587"
"B.Mayfield","B.Mayfield","3","","0.0099","-0.0755","0.00117","0.2756","0.0","0","3052587"
"B.Mayfield","B.Mayfield","4","","0.1269","0.117","0.13038","-0.1295","0.0","0","3052587"
"B.Mayfield","B.Mayfield","5","","-0.0046","-0.1315","-0.04977","0.7423","0.0","0","3052587"
"B.Mayfield","B.Mayfield","6","","0.3686","0.3732","0.33792","0.5028","0.0","0","3052587"
"B.Mayfield","B.Mayfield","7","","0.1997","-0.1689","0.23142","-0.5318","0.0","0","3052587"
"B.Nix","B.Nix","1","","-0.0052","0.0","0.0","-0.1867","0.0","0","4426338"
"B.Nix","B.Nix","2","","-0.0664","-0.0612","-0.07521","0.2782","0.0","0","4426338"
"B.Nix","B.Nix","3","","0.1302","0.1966","0.13152","-0.0565","0.0","0","4426338"
"B.Nix","B.Nix","4","","-0.0074","-0.1376","-0.01731","0.3162","0.0","0","4426338"
"B.Nix","B.Nix","5","","0.1549","0.1623","0.14844","0.101","0.0","0","4426338"
"B.Nix","B.Nix","6","","0.0536","-0.1013","0.05274","0.009","0.0","0","4426338"
"B.Nix","B.Nix","7","","0.0106","-0.043","0.01182","-0.0261","0.0","0","4426338"
"B.Purdy","B.Purdy","1","","0.0116","0.0","0.0","0.3703","0.0","0","4361741"
"B.Purdy","B.Purdy","4","","0.1715","0.1599","0.17247","-0.0452","0.0","0","4361741"
"B.Rypien","B.Rypien","3","","-0.0369","0.0","0.0","-1.2379","0.0","0","3722362"
"B.Young","B.Young","1","","-0.0125","0.0","0.0","-0.4279","0.0","0",""
"B.Young","B.Young","2","","-0.1804","-0.1679","-0.18246","0.0558","0.0","0",""
"B.Young","B.Young","3","","0.03","0.2104","0.03261","-0.0994","0.0","0",""
"B.Young","B.Young","4","","-0.0447","-0.0747","-0.03636","-0.2883","0.0","0",""
"B.Young","B.Young","5","","-0.1224","-0.0777","-0.12039","-0.0395","0.0","0",""
"B.Young","B.Young","6","","-0.0043","0.1181","-0.00978","0.0847","0.0","0",""
"B.Young","B.Young","7","","0.0461","0.0504","0.04548","0.0042","0.0","0",""
"C.Akers","C.Akers","5","","0.1","0.0","0.0","3.26","0.0","0","4240021"
"C.Kupp","C.Kupp","7","","-0.1","0.0","0.0","-5.3702","0.0","0","2977187"
"C.Olave","C.Olave","4","","-0.1","0.0","0.0","-3.5951","0.0","0","4361370"
"C.Rush","C.Rush","4","","-0.0132","0.0","0.0","-0.4499","0.0","0",""
"C.Rush","C.Rush","5","","-0.2146","-0.2014","-0.19227","-0.376","0.0","0",""
"C.Rush","C.Rush","6","","-0.1949","0.0197","-0.15936","-0.5952","0.0","0",""
"C.Stroud","C.Stroud","1","","-0.0083","0.0","0.0","-0.2866","0.0","0",""
"C.Stroud","C.Stroud","2","","-0.124","-0.1157","-0.11964","-0.1601","0.0","0",""
"C.Stroud","C.Stroud","3","","-0.0695","0.0545","-0.06336","-0.217","0.0","0",""
"C.Stroud","C.Stroud","4","","-0.0802","-0.0107","-0.08865","0.2649","0.0","0",""
"C.Stroud","C.Stroud","5","","0.164","0.2442","0.12561","0.6292","0.0","0",""
"C.Stroud","C.Stroud","7","","0.2726","0.1086","0.28764","-0.2552","0.0","0",""
"C.Ward","C.Ward","1","","-0.0115","0.0","0.0","-0.3938","0.0","0",""
"C.Ward","C.Ward","2","","-0.1723","-0.1608","-0.16731","-0.1772","0.0","0",""
"C.Ward","C.Ward","3","","-0.0796","0.0927","-0.07098","-0.2982","0.0","0",""
"C.Ward","C.Ward","4","","-0.1423","-0.0627","-0.1248","-0.593","0.0","0",""
"C.Ward","C.Ward","5","","-0.2532","-0.1109","-0.2559","0.039","0.0","0",""
"C.Ward","C.Ward","6","","0.0054","0.2586","0.02514","-0.3337","0.0","0",""
"C.Ward","C.Ward","7","","-0.1584","-0.1638","-0.14055","-0.3011","0.0","0",""
"C.Wentz","C.Wentz","3","","0.0128","0.0","0.0","0.4106","0.0","0","2573079"
"C.Wentz","C.Wentz","4","","0.1926","0.1798","0.19041","0.0599","0.0","0","2573079"
"C.Wentz","C.Wentz","5","","0.049","-0.1436","0.03444","0.2351","0.0","0","2573079"
"C.Wentz","C.Wentz","7","","0.1097","0.0607","0.11238","-0.0517","0.0","0","2573079"
"C.Williams","C.Williams","1","","-0.0053","0.0","0.0","-0.19","0.0","0",""
