player,week,pass_yards,pass_tds,ints,rush_yards,rush_tds,fumbles,epa_per_play,cpoe,pass_attempts
J.Flacco,3,142.0,0.0,1.0,0.0,0.0,0.0,-0.22920522574379507,-2.9837553046251637,38.0
J.Flacco,4,184.0,0.0,2.0,0.0,0.0,1.0,-0.5391145327178642,-13.517147141533933,37.0
J.Flacco,6,219.0,2.0,0.0,0.0,0.0,0.0,0.1382212151806402,3.974003392331149,47.0
J.Flacco,7,342.0,3.0,0.0,0.0,0.0,0.0,0.30906241955641767,1.4774486118433474,49.0
J.Goff,1,225.0,1.0,1.0,0.0,0.0,0.0,0.03196227576499387,10.020881821942888,43.0
J.Goff,2,334.0,5.0,0.0,0.0,0.0,0.0,0.8608364394316427,14.942416335855215,28.0
J.Goff,3,202.0,1.0,0.0,0.0,0.0,0.0,0.5089237984448919,12.050475925207136,28.0
J.Goff,4,168.0,2.0,1.0,0.0,0.0,0.0,-0.03785590172371819,-0.45481732598057056,27.0
J.Goff,5,258.0,3.0,0.0,0.0,0.0,1.0,0.43110523851700444,12.985071429499877,27.0
J.Goff,6,203.0,2.0,0.0,0.0,0.0,1.0,0.22377171270394056,12.765621840953832,30.0
J.Goff,7,241.0,1.0,1.0,0.0,0.0,1.0,-0.2616679077871331,-1.1009577548865115,33.0
J.Herbert,1,318.0,3.0,0.0,0.0,0.0,1.0,0.47479086920147634,5.319408387751195,37.0
J.Herbert,2,242.0,2.0,0.0,0.0,0.0,0.0,0.3506250142169616,0.30886695302766215,29.0
J.Herbert,3,300.0,1.0,1.0,0.0,0.0,1.0,-0.046057355684122975,-3.599146696237413,52.0
J.Herbert,4,203.0,1.0,2.0,0.0,0.0,0.0,-0.49120457031382664,-5.0169477629107115,43.0
J.Herbert,5,166.0,1.0,1.0,0.0,0.0,1.0,-0.36445835247277786,3.461082957007667,33.0
J.Herbert,6,264.0,2.0,0.0,0.0,0.0,2.0,0.17785412416792054,8.56473980805812,39.0
J.Herbert,7,420.0,3.0,2.0,0.0,0.0,0.0,0.10032977242209092,2.611228823661809,58.0
J.Hurts,1,152.0,0.0,0.0,0.0,0.0,0.0,0.06628133483405031,18.17192398011684,24.0
J.Hurts,2,101.0,0.0,0.0,0.0,0.0,1.0,-0.20249941900648663,3.84684056043625,24.0
J.Hurts,3,226.0,3.0,0.0,0.0,0.0,1.0,-0.0057188799872972,4.829338515127032,37.0
J.Hurts,4,130.0,2.0,0.0,0.0,0.0,0.0,-0.04972554032708738,-4.612647340847896,26.0
J.Hurts,5,280.0,2.0,0.0,0.0,0.0,0.0,0.011476762053341067,-1.9026781347664894,44.0
J.Hurts,6,283.0,1.0,1.0,0.0,0.0,1.0,-0.08315560335513683,8.189025107357239,36.0
J.Hurts,7,326.0,3.0,0.0,0.0,0.0,0.0,0.7271797762995653,15.856077579351574,26.0
J.Karty,3,0.0,0.0,0.0,0.0,0.0,0.0,-2.98464076973981,0.0,1.0
J.Love,1,188.0,2.0,0.0,0.0,0.0,0.0,0.4575133750923031,13.074940307573836,22.0
J.Love,2,292.0,2.0,0.0,0.0,0.0,0.0,0.20189030939241615,8.4810377070398,33.0
