player,espnId,epa_per_play,cpoe,plays,week,pass_efficiency,yards_per_target,rush_success_rate,estimated_epa,cpoe_estimate
,,,,0,0,,,,0.0,-62.0
,,,,0,0,,,,0.0,-62.0
