playerId,week,price,score,expectation_gap,momentum,price_change_pct
3116165,5,82.39,8.0,-0.230769,-0.034744,-0.152359
4567750,5,187.2,51.4,0.574273,0.086351,0.2
4697815,5,223.56,43.8,2.619835,-0.032811,0.2
3150744,5,114.53,1.2,0.0,0.079992,0.031997
4608810,5,139.97,15.0,9.714286,0.2,0.2
4401805,5,120.0,8.0,1.5,-0.07,0.2
3052587,5,304.94,118.4,0.286257,0.074549,0.2
5097554,5,97.2,0.4,0.0,-0.07,-0.028
2976592,5,225.4,20.6,0.738397,-0.200009,0.2
4567048,5,243.86,18.0,-0.315589,-0.010729,-0.193645
4243331,5,118.24,19.8,3.367647,-0.408683,0.2
4597703,5,81.86,23.8,0.5,-0.199953,0.2
2473037,5,122.05,0.4,-0.636364,0.200031,-0.2
4576297,5,281.04,42.6,2.421687,0.19998,0.2
4430871,5,120.0,2.2,4.5,-0.07,0.2
4426385,5,144.0,24.0,0.493776,0.077244,0.2
2977187,5,194.22,17.8,0.534483,-0.19999,0.2
4428522,5,97.2,0.4,0.0,-0.07,-0.028
4430878,5,253.66,46.4,0.549249,-0.165594,0.2
4678006,5,120.88,2.8,-0.490909,0.199968,-0.2
3912547,5,455.39,134.6,0.827563,0.094893,0.2
4427728,5,97.2,18.8,0.0,-0.07,-0.028
3915525,5,97.2,0.4,0.0,-0.07,-0.028
4240657,5,116.64,31.8,158.0,-0.086262,0.2
4241987,5,97.2,0.4,0.0,-0.07,-0.028
3059722,5,87.43,3.6,-0.162791,-0.07,-0.125674
4361307,5,252.32,13.0,-0.37799,-0.039995,-0.2
4037235,5,269.2,4.0,-0.111111,0.200018,0.013341
4360635,5,260.01,13.2,0.404255,-0.199993,0.162556
4686728,5,152.56,10.4,1.212766,-0.150768,0.2
4432708,5,181.77,23.2,0.089202,0.20003,0.133533
4426844,5,80.4,3.6,-0.28,-0.07,-0.196
4688380,5,350.67,67.4,0.298651,-0.137274,0.124281
4431268,5,166.73,6.2,1.583333,-0.200023,0.2
3925357,5,188.12,32.2,2.08134,-0.19999,0.2
4360761,5,111.54,5.6,-0.211268,-0.135061,-0.180785
4428557,5,97.2,2.8,0.0,-0.07,-0.028
3124084,5,78.21,1.2,-0.142857,-0.200017,-0.165721
4883647,5,188.43,6.0,-0.663866,-0.141681,-0.2
4696700,5,80.0,0.4,-0.875,-0.07,-0.2
4362478,5,139.97,16.2,0.670103,0.2,0.2
2578570,5,97.2,0.4,0.0,-0.07,-0.028
3917315,5,222.09,74.6,-0.034929,0.117507,0.026046
3916148,5,338.84,31.2,0.514563,-0.031121,0.2
4367567,5,76.8,1.0,-0.5,-0.2,-0.2
2577327,5,113.71,3.2,-0.219512,-0.200023,-0.2
4575131,5,188.47,58.0,2.462687,-0.148865,0.2
4595342,5,62.21,3.6,-0.625,-0.2,-0.2
3126486,5,190.97,40.0,0.465201,0.140789,0.2
3915486,5,76.8,8.0,0.690141,-0.2,0.2
4362081,5,81.72,0.4,-0.5,-0.200016,-0.2
4429025,5,114.76,13.0,-0.637378,0.04563,-0.2
4685382,5,199.89,18.8,-0.342657,0.2,-0.125594
4245144,5,84.22,2.6,-0.277778,0.082769,-0.133559
3127586,5,76.8,4.8,-0.595506,-0.2,-0.2
4374269,5,97.2,0.4,0.0,-0.07,-0.028
15835,5,118.94,0.4,-0.977077,-0.200011,-0.2
4249087,5,97.31,0.8,-0.4,0.198222,-0.160711
2576581,5,57.16,0.4,-0.930233,-0.199978,-0.2
4612826,5,138.98,25.8,0.984615,-0.200028,0.2
4602667,5,132.28,4.4,0.442623,0.199978,0.2
4362619,5,93.31,1.4,-0.857143,0.2,-0.2
4372071,5,97.2,3.8,0.0,-0.07,-0.028
4430968,5,97.2,4.6,0.0,-0.07,-0.028
4048228,5,97.2,2.6,0.0,-0.07,-0.028
4038941,5,122.75,70.0,-0.269311,-0.2,-0.2
4426948,5,122.73,11.2,-0.338583,0.200017,-0.123143
3121421,5,97.2,0.4,0.0,-0.07,-0.028
4426348,5,91.34,77.6,-0.097674,-0.07,-0.086605
4383351,5,97.2,12.6,0.0,-0.07,-0.028
15818,5,141.26,17.2,-0.371115,-0.199991,-0.2
4362921,5,253.32,21.2,-0.036364,-0.101523,-0.062427
3120348,5,184.74,5.4,-0.615658,0.200021,-0.2
4882093,5,146.1,3.0,-0.781022,-0.200009,-0.2
3134353,5,74.65,0.4,-0.76,-0.200017,-0.2
3052096,5,115.2,2.2,1.2,-0.2,0.2
4360310,5,270.49,104.6,0.397462,-0.165008,0.172474
3139477,5,268.98,118.4,0.213737,0.15887,0.19179
4686361,5,53.22,0.4,-0.636364,-0.005085,-0.2
4430539,5,159.45,5.2,-0.609023,0.135411,-0.2
4361577,5,80.0,5.4,-0.669388,-0.07,-0.2
4239996,5,195.73,14.4,-0.560976,0.119982,-0.2
4426659,5,97.2,0.4,0.0,-0.07,-0.028
4432620,5,74.65,18.4,0.693252,-0.199974,0.2
4361529,5,314.6,13.6,0.092369,0.2,0.135422
4683062,5,119.59,16.2,0.087248,-0.13941,-0.003415
15847,5,147.89,31.4,0.950311,-0.198126,0.2
4239944,5,76.8,1.4,-0.894472,0.2,-0.2
4596602,5,167.96,9.6,1.086957,0.200017,0.2
4685415,5,161.03,15.2,0.634409,0.135664,0.2
3059915,5,275.03,38.6,2.230126,-0.031687,0.2
4432773,5,182.02,20.0,0.197605,-0.099295,0.078845
4241372,5,154.83,14.4,-0.248042,0.141318,-0.092298
